company_name,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,certification_cycle,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,impact_area_community_na_score,impact_area_customers_na_score,impact_area_environment_na_score,impact_area_governance_na_score,impact_area_workers_na_score,ia_community_it_civic_engagement_giving,ia_community_it_designed_for_charitable_giving,ia_community_it_designed_to_give,ia_community_it_diversity_inclusion,ia_community_it_job_creation,ia_community_it_local_economic_development,ia_community_it_local_involvement,ia_community_it_microdistribution_poverty_alleviation,ia_community_it_microfranchise_poverty_alleviation,ia_community_it_national_economic_development,ia_community_it_producer_cooperative,ia_community_it_suppliers_distributors,ia_community_it_suppliers_distributors_product,ia_community_it_supply_chain_poverty_alleviation,ia_customers_it_arts_media_culture,ia_customers_it_basic_services_for_the_underserved,ia_customers_it_business_model_and_engagement,ia_customers_it_capacity_building,ia_customers_it_current_fund,ia_customers_it_economic_empowerment_for_the_underserved,ia_customers_it_education,ia_customers_it_educational_models_and_engagement,ia_customers_it_educational_outcomes,ia_customers_it_health,ia_customers_it_health_wellness_improvement,ia_customers_it_impact_improvement,ia_customers_it_improved_impact,ia_customers_it_infrastructure_market_access,ia_customers_it_infrastructure_market_access_building,ia_customers_it_investment_criteria,ia_customers_it_leadership_outreach,ia_customers_it_marketing_recruiting_and_transparency,ia_customers_it_mission_aligned_exit,ia_customers_it_mission_lock,ia_customers_it_past_performance,ia_customers_it_portfolio_management,ia_customers_it_portfolio_reporting,ia_customers_it_positive_impact,ia_customers_it_privacy_and_consumer_protection,ia_customers_it_quality_and_continuous_improvement,ia_customers_it_serving_in_need_populations,ia_customers_it_student_experience,ia_customers_it_student_outcomes,ia_customers_it_student_outcomes_special_interest_students_,ia_customers_it_support_for_underserved_purpose_driven_enterprises,ia_customers_it_targeted_for_investment,ia_environment_it_certification,ia_environment_it_community,ia_environment_it_construction_practices,ia_environment_it_designed_to_conserve_agriculture_process,ia_environment_it_designed_to_conserve_manufacturing_process,ia_environment_it_designed_to_conserve_wholesale_process,ia_environment_it_energy_water_efficiency,ia_environment_it_environment_products_services_introduction,ia_environment_it_environmental_education_information,ia_environment_it_environmentally_innovative_wholesale_process,ia_environment_it_inputs,ia_environment_it_land_office_plant,ia_environment_it_land_wildlife_conservation,ia_environment_it_material_energy_use,ia_environment_it_materials_codes,ia_environment_it_outputs,ia_environment_it_renewable_or_cleaner_burning_energy,ia_environment_it_resource_conservation,ia_environment_it_safety,ia_environment_it_toxin_reduction_remediation,ia_environment_it_training_collaboration,ia_environment_it_transportation_distribution_suppliers,ia_governance_it_corporate_accountability,ia_governance_it_ethics,ia_governance_it_governance,ia_governance_it_mission_engagement,ia_governance_it_mission_locked,ia_governance_it_transparency,ia_workers_it_benefits,ia_workers_it_compensation_wages,ia_workers_it_human_rights_labor_policy,ia_workers_it_job_flexibility_corporate_culture,ia_workers_it_management_worker_communication,ia_workers_it_occupational_health_safety,ia_workers_it_training_education,ia_workers_it_worker_benefits,ia_workers_it_worker_owned,ia_workers_it_worker_ownership,ia_workers_it_workforce_development
Eagle Direct Ltd (Eagle Group),11/22/12,certified,Eagle Consumables and Medical House import and distribute disposable consumables to the industrial and medical sectors throughout New Zealand,Other,Business Products & Services,Importer and Distributor of Single Use Disposable Goods,New Zealand,Canterbury,Christchurch,Wholesale/Retail, 10-49,bcorporation.net/directory/eagle-direct-ltd-eagle-group,www.eagleprotect.com,2016,84.2,1,24.7,0.8,22.4,9.5,26.8,0.5,0,0,0,1,5.2,,,4.7,3.8,,1.8,,,,,,8.5,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,6.4,4.9,,,,1.5,,,,,,9.5,0.6,1.5,,1.6,2.5,3.2,9,6.2,,2.2,2.3,1.1,1.8,,,2.6,
Eagle Direct Ltd (Eagle Group),11/22/12,certified,Eagle Consumables and Medical House import and distribute disposable consumables to the industrial and medical sectors throughout New Zealand,Other,Business Products & Services,Importer and Distributor of Single Use Disposable Goods,New Zealand,Canterbury,Christchurch,Wholesale/Retail, 10-49,bcorporation.net/directory/eagle-direct-ltd-eagle-group,www.eagleprotect.com,2014,84.2,2,27.7,1.5,18.3,8.9,27.8,0.7,0,1.4,0,1.3,5.2,,,5.2,3.8,,3.2,,,,,,9.4,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,2.5,,,,1.5,,,,,,9.3,,1.5,0.9,1.3,2.5,2.6,,2.5,,2.3,2.2,1.1,1.1,7.2,,2.6,
Eagle Direct Ltd (Eagle Group),11/22/12,certified,Eagle Consumables and Medical House import and distribute disposable consumables to the industrial and medical sectors throughout New Zealand,Other,Business Products & Services,Importer and Distributor of Single Use Disposable Goods,New Zealand,Canterbury,Christchurch,Wholesale/Retail, 10-49,bcorporation.net/directory/eagle-direct-ltd-eagle-group,www.eagleprotect.com,2012,80.1,3,16.1,11.3,10.2,12.4,29.3,0.2,0,0.5,0,0.1,1.6,,,3.9,3.7,,2.3,,,,,4.2,,,,,,,,,,,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,4.2,,,,0.6,,,,,,2.5,1.5,,0.7,2,5.5,2.5,,11,,1.8,1.8,1.1,1.7,7.9,,3.5,
Bazzani Building Company,7/25/14,certified,"At Bazzani, they don’t just design and build green, they live it as passionate advocates of sustainable living.Through award-winning developments, Bazzani has earned a reputation for designing and building high-performance buildings within diverse, urban neighborhoods. Since 1983, the founder, Guy Bazzani, has earned the reputation of pioneer and visionary of green building and urban revitalization.
 
 Projects at Bazzani are approached with respect to the Triple Bottom Line Philosophy. In short, that means the firm continually balances the aspects of economic viability, social responsibility, and environmental integrity in all they do. It is how Bazzani defines sustainability and demonstrates respect for their clients, tenants, employees, the environment, and future generations.
 
 Bazzani’s mission is to serve their clients by creating buildings that are cost-effective, efficient, and sustainable. It is their belief that responsible business is a vehicle for improving the economic, social and environmental health and well-being of the communities they serve. They lead by example, inspiring residents, businesses, non-profits, and municipalities to collaborate and thrive.",Design/Build,Building,"Design, Development, Construction",United States,Michigan,Grand Rapids,Service with Significant Environmental Footprint, 1-9,bcorporation.net/directory/bazzani-building-company,www.bazzani.com,2016,138.5,1,50.7,0,63.1,5.1,19.6,0,0,4.2,0,1.2,6.5,,,0.5,0.5,24.6,9,,,,,,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10.1,,,,,,,,,4,3.5,,,9.6,4.5,,,2,,4.7,10,0,,,0.6,2.5,2,5.2,4.2,,,6.2,,0.5,,,2,
Bazzani Building Company,7/25/14,certified,"At Bazzani, they don’t just design and build green, they live it as passionate advocates of sustainable living.Through award-winning developments, Bazzani has earned a reputation for designing and building high-performance buildings within diverse, urban neighborhoods. Since 1983, the founder, Guy Bazzani, has earned the reputation of pioneer and visionary of green building and urban revitalization.
 
 Projects at Bazzani are approached with respect to the Triple Bottom Line Philosophy. In short, that means the firm continually balances the aspects of economic viability, social responsibility, and environmental integrity in all they do. It is how Bazzani defines sustainability and demonstrates respect for their clients, tenants, employees, the environment, and future generations.
 
 Bazzani’s mission is to serve their clients by creating buildings that are cost-effective, efficient, and sustainable. It is their belief that responsible business is a vehicle for improving the economic, social and environmental health and well-being of the communities they serve. They lead by example, inspiring residents, businesses, non-profits, and municipalities to collaborate and thrive.",Design/Build,Building,"Design, Development, Construction",United States,Michigan,Grand Rapids,Service with Significant Environmental Footprint, 1-9,bcorporation.net/directory/bazzani-building-company,www.bazzani.com,2014,149.7,2,44.5,0,64.1,8.1,32.8,0,0,0.9,0,2.4,7,,,0.8,2.6,10.6,15.3,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,16.2,,,,,,,,,5.5,6.7,,,16.3,1.1,,,2,,4.8,,,,,1.1,2.5,4.4,,11.3,,,8.4,,,5.3,,5.3,
Brew Dr. Kombucha,9/19/18,certified,"Brew Dr. Kombucha specializes in crafting deliciously refreshing, organic tea-based beverages using sustainable and responsible business practices. Founded in 2008 by CEO, Matt Thomas, the company uses the same no shortcuts, whole-ingredients approach that it has since its start in the basement of their teahouse. Its closed-loop brewing process, local community support, and 100% renewable energy initiatives are a testament to the company’s commitment to being the change it seeks in the world, balancing profit with purpose, and considering people and place in every decision it makes. 

Brew Dr. sells its organic 100% raw kombucha in all 50 states and across Canada, in a continuous effort to make better-for-you beverages readily accessible to everyone.",Food & Beverage,Consumer Products & Services,Kombucha,United States,Oregon,Portland,Manufacturing, 50-249,bcorporation.net/directory/townshends-brew-dr-kombucha,brewdrkombucha.com,2018,91.3,1,21.5,0,35.1,16.4,18.1,0.4,0,0.3,0,0,4.9,,,2.5,2.1,,5.8,,,,,,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,8.2,5.3,,,,4,,,,15.5,,1.6,1.3,0.8,,2.6,10,1.6,5.2,3.4,,2.3,1.3,1.1,0.9,,,3.5,
Rogue Creamery,6/10/16,certified,"Inspired by a sense of place since 1933, Rogue Creamery draws from the beauty and flavors of Southern Oregon’s Rogue River Valley to create nine distinctive varieties of handcrafted blue cheeses and a variety of gourmet cheddars. Over the last 60 years , Rogue Creamery blue cheeses have received international acclaim. The USDA Certified Organic whole milk they use to make these original blues comes from their 75 acre dairy located along the banks of the rugged and scenic Rogue River. The creamery has won over 100 international and national awards .In 2016 its Flora Nelle and Rogue River Blue cheeses both won 1st Place at the 2016 Good Food Awards in San Francisco. Its Rogue River Blue cheese was awarded Best Blue Cheese @ the 2015 U.S. Cheese Championships, “Best of Show” at both the 2011 & 2009 American Cheese Society Competitions and “Best Blue Cheese” at the World Cheese Awards in London, England. Its Caveman Blue was awarded Super Gold (one of the Top 60 Cheeses in the World) @ the World Cheese Awards in 2014. Rogue Creamery registered as the 1st Benefit Company in the state of Oregon in 2014.",Agricultural Services,Agriculture,"Blue Cheese, Semi Hard Cheese, wine, beer, pantry goods and hard g",United States,Oregon,Central Point,Manufacturing, 10-49,bcorporation.net/directory/rogue-creamery,www.roguecreamery.com,2018,136.6,1,40.2,,57.9,18.2,20.2,0,,0.4,0,0,7.7,,,3.2,2.6,,6.4,,,,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,9.2,5.7,,,,4.4,,,,15.5,,4.5,0.4,1.5,,3,10,3.2,5.1,8.1,,1.4,1.7,1.1,1.2,,,1.3,11.2
Rogue Creamery,6/10/16,certified,"Inspired by a sense of place since 1933, Rogue Creamery draws from the beauty and flavors of Southern Oregon’s Rogue River Valley to create nine distinctive varieties of handcrafted blue cheeses and a variety of gourmet cheddars. Over the last 60 years , Rogue Creamery blue cheeses have received international acclaim. The USDA Certified Organic whole milk they use to make these original blues comes from their 75 acre dairy located along the banks of the rugged and scenic Rogue River. The creamery has won over 100 international and national awards .In 2016 its Flora Nelle and Rogue River Blue cheeses both won 1st Place at the 2016 Good Food Awards in San Francisco. Its Rogue River Blue cheese was awarded Best Blue Cheese @ the 2015 U.S. Cheese Championships, “Best of Show” at both the 2011 & 2009 American Cheese Society Competitions and “Best Blue Cheese” at the World Cheese Awards in London, England. Its Caveman Blue was awarded Super Gold (one of the Top 60 Cheeses in the World) @ the World Cheese Awards in 2014. Rogue Creamery registered as the 1st Benefit Company in the state of Oregon in 2014.",Agricultural Services,Agriculture,"Blue Cheese, Semi Hard Cheese, wine, beer, pantry goods and hard g",United States,Oregon,Central Point,Manufacturing, 10-49,bcorporation.net/directory/rogue-creamery,www.roguecreamery.com,2016,138.1,2,44.3,0,52.5,17.3,24,0,0,0.9,0,1.1,7.9,,,2,2.7,,6.2,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,10.8,6.9,,,,5.4,,,,6.7,,3.7,,1.5,0.1,2.3,10,3.2,,8.6,,1.5,2.3,1.1,1.1,5.5,,2.2,15.6
Flow Office Wisdom,7/2/15,certified,"Supporting a movement. Changing the world one organization at a time.
 
There are so many amazing, innovative, smart and creative people in the world who are focussing on what can be done to build a sustainable, vibrant and abundant world for all; so FLOW decided not to pick a single project but to instead support the great work and ideas already taking root.
 
In short, FLOW can affect the greatest amount of change in the world by providing all the essential back office services needed to support the growth and development of B Corps and all kinds of socially and environmentally focussed organizations and businesses. FLOW Office Wisdom holds tightly to their core values (Transformation, Awareness, Courage, Enthusiasm, and Connection) and they encourage their clients to maintain focus on their ""why"".
 
As a team, FLOW represents a full range of administrative and back office skills: Bookkeeping, Project Management, Event Planning, Written Communications, Websites, Human Resources, Design, Marketing and Promotion and more…",Other,Business Products & Services,Business Administration Services,Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/flow-office-wisdom,www.flowofficewisdom.com,2017,94.1,1,40.1,6.8,1.2,13.3,32.7,0.9,0,0.1,0,1.9,8.9,,16.3,5,1.8,0,4.7,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,5.2,,,,,,,,,,,,0,0,,,,1.1,,,,,,,0,,,1.3,7.5,4.5,10.1,9,,,6.5,,2.3,,,2.7,
Flow Office Wisdom,7/2/15,certified,"Supporting a movement. Changing the world one organization at a time.
 
There are so many amazing, innovative, smart and creative people in the world who are focussing on what can be done to build a sustainable, vibrant and abundant world for all; so FLOW decided not to pick a single project but to instead support the great work and ideas already taking root.
 
In short, FLOW can affect the greatest amount of change in the world by providing all the essential back office services needed to support the growth and development of B Corps and all kinds of socially and environmentally focussed organizations and businesses. FLOW Office Wisdom holds tightly to their core values (Transformation, Awareness, Courage, Enthusiasm, and Connection) and they encourage their clients to maintain focus on their ""why"".
 
As a team, FLOW represents a full range of administrative and back office skills: Bookkeeping, Project Management, Event Planning, Written Communications, Websites, Human Resources, Design, Marketing and Promotion and more…",Other,Business Products & Services,Business Administration Services,Canada,Ontario,Guelph,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/flow-office-wisdom,www.flowofficewisdom.com,2015,88.8,2,42.6,8.2,8.1,8.1,21.9,1.6,0,1.1,0,0,8.6,20.5,,5,2,,4.7,,,,,,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,5.7,,,,,,,,,,,,,,1.3,2.5,4.2,,6.7,,,7.2,,,5.2,,2.7,
